bowl_mat,bowl_sr,catches,econ,player,wkts
1,-,0,10.50,S Ladda,0
8,71.0,0,9.59,VR Aaron,2
5,48.0,0,11.06,KJ Abbott,2
4,-,0,-,AD Nath,-
3,-,0,-,MA Agarwal,-
6,-,0,-,HM Amla,-
3,66.0,1,7.63,Ankit Sharma,1
2,-,0,7.16,Anureet Singh,0
9,15.9,3,7.40,S Aravind,11
4,23.0,1,10.17,A Ashish Reddy,1
10,24.4,0,8.45,M Ashwin,7
14,26.4,3,7.25,R Ashwin,10
6,-,2,-,GJ Bailey,-
3,-,1,-,F Behardien,-
10,34.0,2,7.17,R Bhatia,6
5,-,3,-,SW Billings,-
14,102.0,3,7.88,STR Binny,1
7,28.0,2,8.64,Bipul Sharma,3
2,21.0,0,7.71,SM Boland,2
1,24.0,1,9.75,TA Boult,1
8,19.8,3,8.15,CR Brathwaite,7
15,19.7,6,8.82,DJ Bravo,17
14,20.8,1,7.80,JJ Bumrah,15
14,-,7,-,JC Buttler,-
5,34.0,2,9.35,KC Cariappa,3
13,14.0,4,8.15,YS Chahal,21
2,-,1,8.20,DL Chahar,0
1,-,0,-,UBT Chand,-
12,19.2,3,7.72,PP Chawla,11
4,30.0,0,7.60,NM Coulter-Nile,3
4,13.4,1,7.16,BCJ Cutting,5
13,-,2,-,Q de Kock,-
16,-,19,-,AB de Villiers,-
2,21.0,0,8.00,R Dhawan,2
17,-,5,-,S Dhawan,-
14,-,8,-,MS Dhoni,-
9,16.6,0,7.57,AB Dinda,11
10,21.0,3,7.85,JP Duminy,2
6,-,4,-,F du Plessis,-
4,-,2,-,ER Dwivedi,-
7,51.0,3,9.82,JP Faulkner,2
13,-,3,-,AJ Finch,-
15,-,1,-,G Gambhir,-
10,30.0,4,6.30,CH Gayle,2
1,-,0,6.00,S Gopal,0
3,-,0,-,MJ Guptill,-
7,12.0,5,7.75,Gurkeerat Singh,2
2,-,0,-,PSP Handscomb,-
14,32.6,4,8.00,Harbhajan Singh,9
2,20.0,0,5.55,JW Hastings,2
3,-,0,-,TM Head,-
17,26.0,11,7.98,MC Henriques,12
5,24.0,3,8.87,GB Hogg,4
4,39.0,0,7.92,JO Holder,2
17,26.0,3,7.46,DJ Hooda,3
4,19.2,0,8.62,Imran Tahir,5
8,25.0,4,8.52,Iqbal Abdulla,6
5,-,1,-,Ishan Kishan,-
6,-,4,-,SS Iyer,-
15,30.1,4,7.74,RA Jadeja,8
4,-,1,-,KM Jadhav,-
6,60.0,4,8.90,SB Jakati,2
3,33.0,1,9.63,MG Johnson,2
9,15.2,4,9.21,CJ Jordan,11
16,-,11,-,KD Karthik,-
7,23.0,0,8.34,S Kaushik,6
5,-,0,-,SN Khan,-
12,26.2,0,7.71,Z Khan,10
6,-,1,-,UT Khawaja,-
16,-,6,13.00,V Kohli,0
3,12.0,1,8.33,Kuldeep Yadav,6
14,16.3,2,7.42,DS Kulkarni,18
17,17.2,6,7.42,B Kumar,23
16,34.3,2,7.78,P Kumar,9
2,-,1,-,CA Lynn,-
14,18.8,0,8.17,MJ McClenaghan,17
16,-,0,-,BB McCullum,-
1,-,1,-,Mandeep Singh,-
3,13.5,0,5.00,MR Marsh,4
6,-,1,-,SE Marsh,-
11,-,3,8.88,GJ Maxwell,0
14,-,10,-,DA Miller,-
1,24.0,1,10.75,AF Milne,1
14,21.2,3,7.47,A Mishra,13
8,30.2,1,9.69,Mohammed Shami,5
7,-,3,-,EJG Morgan,-
2,15.0,1,13.20,JA Morkel,2
10,21.3,0,8.36,M Morkel,10
12,20.3,8,7.00,CH Morris,13
4,-,2,7.50,C Munro,0
16,21.5,2,6.90,Mustafizur Rahman,17
4,45.0,0,8.46,S Nadeem,2
2,-,2,-,NS Naik,-
14,-,3,-,KK Nair,-
11,23.2,2,7.12,SP Narine,11
8,54.0,2,9.33,P Negi,1
8,17.3,1,7.65,A Nehra,9
17,-,18,-,NV Ojha,-
12,-,7,-,MK Pandey,-
